Customer,State,Gender,Education,Customer_Lifetime_Value,Income,Monthly Premium Auto,Number_of_Open_Complaints,Policy_Type,Vehicle_Class,Total_Claim_Amount
SR38658,Arizona,U,High School or Below,1223187.0,43244.0,103.0,1/0/00,Personal Auto,Sports Car,494.0
YD87931,Washington,Male,Doctorate,495165.0,46896.0,35354.0,1/1/00,Personal Auto,Four-Door Car,31.0
HG65722,Oregon,U,Doctorate,1281910.0,10105.0,172.0,1/3/00,Personal Auto,SUV,0.0
BU27331,Arizona,U,Bachelors,446851.0,0.0,73.0,1/3/00,Personal Auto,Four-Door Car,579.0
XM45289,Oregon,U,High School or Below,551434.0,23218.0,71.0,1/0/00,Personal Auto,Two-Door Car,447.0
KP34198,California,U,Bachelors,334387.0,0.0,92.0,1/0/00,Corporate Auto,Four-Door Car,529.0
SH90947,Arizona,U,High School or Below,229447.0,0.0,62.0,1/0/00,Personal Auto,Four-Door Car,313.0
WE95729,Oregon,U,High School or Below,3670742.0,24804.0,104.0,1/0/00,Personal Auto,SUV,593.0
PY51963,California,U,Bachelors,3347334.0,33190.0,106.0,1/0/00,Corporate Auto,SUV,508.0
RB69909,Nevada,U,High School or Below,798343.0,36014.0,69.0,1/3/00,Special Auto,Four-Door Car,173.0
NW21079,Washington,Female,Masters,487938.0,67163.0,61.0,1/2/00,Personal Auto,Two-Door Car,33.0
FR46645,California,U,Bachelors,429399.0,16701.0,113.0,1/0/00,Personal Auto,Four-Door Car,831.0
SY17488,Arizona,U,High School or Below,716439.0,46623.0,91.0,1/0/00,Corporate Auto,Four-Door Car,436.0
AP67935,California,U,High School or Below,761951.0,64749.0,64.0,1/0/00,Special Auto,Four-Door Car,302.0
FS37417,Arizona,U,High School or Below,395800.0,0.0,101.0,1/0/00,Personal Auto,SUV,484.0
ML29312,Oregon,U,High School or Below,449949.0,16969.0,124.0,1/2/00,Personal Auto,SUV,704.0
UB61619,Oregon,U,Masters,405956.0,11621.0,108.0,1/0/00,Personal Auto,Four-Door Car,518.0
CD86811,Arizona,U,Bachelors,445811.0,17622.0,65.0,1/1/00,Personal Auto,Four-Door Car,312.0
RU83859,California,U,Bachelors,811033.0,11489.0,105.0,1/0/00,Personal Auto,Two-Door Car,504.0
FG63582,Oregon,U,Bachelors,333976.0,0.0,94.0,1/0/00,Personal Auto,Two-Door Car,863.0
NN71951,California,U,High School or Below,2426101.0,66525.0,100.0,1/0/00,Personal Auto,SUV,104.0
WB37082,Arizona,U,Bachelors,661397.0,0.0,63.0,1/0/00,Personal Auto,Four-Door Car,676.0
SM52139,Washington,U,High School or Below,293069.0,33663.0,73.0,1/0/00,Personal Auto,Four-Door Car,350.0
FL82372,Oregon,U,High School or Below,867219.0,22547.0,112.0,1/0/00,Corporate Auto,SUV,537.0
DP45816,Arizona,U,High School or Below,1163866.0,61486.0,97.0,1/0/00,Personal Auto,Two-Door Car,465.0
GW33762,Oregon,U,Bachelors,684615.0,0.0,95.0,1/0/00,Personal Auto,Two-Door Car,456.0
RZ33670,California,U,High School or Below,1172777.0,29879.0,102.0,1/0/00,Personal Auto,Four-Door Car,500.0
PY70169,Oregon,U,High School or Below,2264383.0,93011.0,113.0,1/0/00,Personal Auto,SUV,281.0
MO91628,Oregon,U,Masters,261447.0,65186.0,65.0,1/0/00,Personal Auto,Two-Door Car,5.0
HW87852,Oregon,U,Masters,245175.0,26840.0,64.0,1/2/00,Personal Auto,Four-Door Car,307.0
HB20453,Oregon,U,Bachelors,678127.0,0.0,104.0,1/1/00,Personal Auto,Sports Car,982.0
BN87372,Oregon,U,Bachelors,497480.0,75644.0,65.0,1/3/00,Personal Auto,Two-Door Car,467.0
YX23800,Oregon,U,Bachelors,859160.0,38984.0,73.0,1/0/00,Personal Auto,Four-Door Car,350.0
DZ87709,Oregon,U,High School or Below,559216.0,71811.0,71.0,1/0/00,Personal Auto,Four-Door Car,29.0
XW13033,Nevada,U,High School or Below,800947.0,20961.0,67.0,1/0/00,Personal Auto,Four-Door Car,321.0
SP81997,Washington,Female,Masters,588174.0,41275.0,96.0,1/0/00,Personal Auto,Four-Door Car,41.0
OM82309,California,U,Bachelors,5816655.0,61321.0,186.0,1/1/00,Personal Auto,Luxury Car,427.0
ZU35962,California,U,High School or Below,802522.0,0.0,77.0,1/0/00,Personal Auto,Two-Door Car,25.0
VH85817,California,U,High School or Below,578018.0,51066.0,74.0,1/0/00,Personal Auto,Four-Door Car,787.0
DT85712,California,U,Doctorate,411853.0,34378.0,102.0,1/0/00,Personal Auto,SUV,489.0
YJ88573,Nevada,U,Masters,252307.0,43072.0,63.0,1/0/00,Personal Auto,Four-Door Car,302.0
SQ19467,Oregon,U,High School or Below,655421.0,25222.0,90.0,1/0/00,Personal Auto,Four-Door Car,475.0
YB66933,Washington,Female,Bachelors,538275.0,77552.0,68.0,1/1/00,Corporate Auto,Four-Door Car,45.0
ET79815,California,U,High School or Below,592672.0,23091.0,96.0,1/5/00,Personal Auto,Four-Door Car,460.0
QC35222,California,U,Bachelors,268347.0,48269.0,69.0,1/3/00,Corporate Auto,Four-Door Car,282.0
CJ15590,Oregon,U,Bachelors,269518.0,32720.0,67.0,1/0/00,Personal Auto,Four-Door Car,321.0
OI48267,California,U,High School or Below,604702.0,20396.0,76.0,1/1/00,Personal Auto,Four-Door Car,364.0
JY67916,Oregon,U,High School or Below,1317101.0,21513.0,119.0,1/1/00,Personal Auto,Two-Door Car,679.0
OW15518,Washington,Female,High School or Below,1595001.0,0.0,87.0,1/1/00,Personal Auto,Two-Door Car,46.0
CZ33664,Oregon,U,Bachelors,252765.0,80744.0,63.0,1/0/00,Corporate Auto,Four-Door Car,11.0
WK30175,Oregon,U,Bachelors,267209.0,52822.0,67.0,1/0/00,Corporate Auto,Two-Door Car,350.0
ON44465,California,U,High School or Below,531329.0,0.0,77.0,1/1/00,Personal Auto,Four-Door Car,863.0
TV87155,Oregon,U,Bachelors,2094619.0,69738.0,74.0,1/1/00,Personal Auto,Four-Door Car,492.0
KH48895,Arizona,U,Masters,837535.0,17780.0,109.0,1/0/00,Personal Auto,SUV,132.0
NZ30757,California,U,Bachelors,480166.0,18107.0,62.0,1/0/00,Personal Auto,Four-Door Car,297.0
RI22468,Arizona,U,Bachelors,574594.0,57740.0,74.0,1/3/00,Personal Auto,Four-Door Car,269.0
FZ30935,Oregon,U,High School or Below,606611.0,32627.0,76.0,1/0/00,Personal Auto,Two-Door Car,380.0
UG93476,California,U,High School or Below,800230.0,0.0,107.0,1/0/00,Personal Auto,SUV,513.0
AB96670,California,U,High School or Below,239391.0,0.0,70.0,1/0/00,Personal Auto,Four-Door Car,425.0
XK64261,Oregon,U,Bachelors,476281.0,65795.0,62.0,1/1/00,Corporate Auto,Two-Door Car,49.0
EV68375,California,U,High School or Below,433038.0,60475.0,107.0,1/0/00,Personal Auto,Four-Door Car,513.0
UN51653,California,U,High School or Below,940272.0,0.0,130.0,1/0/00,Personal Auto,SUV,936.0
TO96662,Oregon,U,Bachelors,696669.0,41837.0,88.0,1/0/00,Personal Auto,Four-Door Car,142.0
MR52087,California,U,Bachelors,769406.0,32303.0,65.0,1/0/00,Personal Auto,Four-Door Car,45.0
DE75225,Oregon,U,High School or Below,871756.0,0.0,117.0,1/1/00,Personal Auto,SUV,561.0
EP80820,California,U,Bachelors,592874.0,40531.0,74.0,1/0/00,Personal Auto,Two-Door Car,30.0
GU99037,Oregon,U,High School or Below,245297.0,79898.0,62.0,1/1/00,Corporate Auto,Four-Door Car,271.0
WI57118,California,U,High School or Below,670157.0,56398.0,85.0,1/0/00,Personal Auto,Four-Door Car,408.0
GP39118,Washington,Male,High School or Below,499655.0,71600.0,63.0,1/0/00,Personal Auto,Two-Door Car,46.0
MQ14219,Arizona,U,High School or Below,849269.0,27804.0,109.0,1/0/00,Personal Auto,SUV,784.0
KN20603,Oregon,U,Bachelors,771349.0,45506.0,66.0,1/2/00,Personal Auto,Four-Door Car,316.0
SG20925,Washington,Female,Masters,518579.0,99428.0,6464.0,1/1/00,Personal Auto,Four-Door Car,48.0
JI70886,California,U,High School or Below,729006.0,0.0,102.0,1/1/00,Corporate Auto,SUV,489.0
VF72557,Oregon,U,High School or Below,477294.0,20993.0,133.0,1/0/00,Personal Auto,SUV,638.0
OX28638,Arizona,U,High School or Below,680649.0,37839.0,86.0,1/0/00,Personal Auto,Two-Door Car,465.0
SK55033,California,U,Bachelors,246978.0,92711.0,62.0,1/0/00,Personal Auto,Two-Door Car,368.0
OO88645,California,U,High School or Below,310392.0,74665.0,78.0,1/2/00,Corporate Auto,Four-Door Car,236.0
FM14335,Washington,Female,High School or Below,1048491.0,61108.0,89.0,1/0/00,Personal Auto,Four-Door Car,49.0
CW82151,California,U,Bachelors,890273.0,46833.0,112.0,1/0/00,Personal Auto,Sports Car,64.0
DY22043,Oregon,U,High School or Below,549944.0,88768.0,68.0,1/0/00,Personal Auto,Two-Door Car,326.0
SH36774,California,U,High School or Below,1502359.0,28262.0,192.0,1/0/00,Personal Auto,Luxury SUV,921.0
EM43724,Nevada,U,Bachelors,250910.0,33555.0,63.0,1/0/00,Personal Auto,Four-Door Car,101.0
FH85960,Oregon,U,High School or Below,3122174.0,42780.0,113.0,1/1/00,Personal Auto,Four-Door Car,542.0
XA55993,Oregon,U,Masters,313350.0,58850.0,78.0,1/0/00,Personal Auto,Four-Door Car,143.0
GO36627,Arizona,U,High School or Below,383745.0,21880.0,97.0,1/0/00,Special Auto,Four-Door Car,424.0
QH48047,Oregon,U,High School or Below,1179049.0,25251.0,66.0,1/0/00,Personal Auto,Four-Door Car,316.0
HS28694,Washington,Female,High School or Below,282986.0,25317.0,71.0,1/0/00,Personal Auto,Two-Door Car,50.0
UH65059,Arizona,U,High School or Below,430580.0,24188.0,109.0,1/0/00,Personal Auto,Sports Car,523.0
FV21968,Nevada,U,Bachelors,597397.0,41611.0,74.0,1/0/00,Special Auto,Four-Door Car,113.0
QA87025,Oregon,U,Bachelors,567044.0,28406.0,72.0,1/1/00,Personal Auto,Four-Door Car,192.0
TQ13499,Arizona,U,High School or Below,473174.0,69833.0,118.0,1/0/00,Personal Auto,Four-Door Car,828.0
BU44523,Arizona,U,High School or Below,802637.0,0.0,74.0,1/0/00,Corporate Auto,Four-Door Car,532.0
MS41162,Arizona,U,High School or Below,402296.0,0.0,117.0,1/0/00,Personal Auto,SUV,975.0
PU25891,Oregon,U,High School or Below,961831.0,80536.0,119.0,1/0/00,Special Auto,Sports Car,53.0
LH92841,Washington,Female,High School or Below,725595.0,88891.0,89.0,1/0/00,Personal Auto,Four-Door Car,50.0
SX26335,Oregon,U,High School or Below,955292.0,97732.0,79.0,1/0/00,Personal Auto,Four-Door Car,289.0
AZ95587,Arizona,Female,Bachelors,1038855.0,61222.0,89.0,1/0/00,Special Auto,Four-Door Car,392.0
DS81757,Oregon,Male,High School or Below,247012.0,0.0,74.0,1/0/00,Personal Auto,Two-Door Car,721.0
OJ94107,Arizona,Male,Masters,561906.0,50335.0,140.0,1/0/00,Personal Auto,SUV,456.0
LP84436,California,Female,High School or Below,904711.0,0.0,127.0,1/0/00,Personal Auto,Sports Car,1087.0
FF22360,Washington,Female,Doctorate,268731.0,82210.0,68.0,1/4/00,Personal Auto,Four-Door Car,51.0
LM19287,Oregon,Female,High School or Below,373150.0,0.0,96.0,1/0/00,Personal Auto,Four-Door Car,460.0
ZU18643,Nevada,Male,Bachelors,366077.0,64495.0,92.0,1/0/00,Corporate Auto,Four-Door Car,251.0
AZ82578,California,Female,High School or Below,792882.0,0.0,72.0,1/0/00,Corporate Auto,Four-Door Car,345.0
XC67861,Arizona,Female,Bachelors,501175.0,28859.0,67.0,1/3/00,Corporate Auto,Two-Door Car,321.0
YC43143,Arizona,Female,High School or Below,798825.0,77330.0,99.0,1/0/00,Personal Auto,Four-Door Car,99.0
EK59571,Oregon,Male,High School or Below,388545.0,0.0,105.0,1/0/00,Corporate Auto,Four-Door Car,504.0
PA38372,Washington,Female,High School or Below,935773.0,33060.0,117.0,1/0/00,Personal Auto,Four-Door Car,56.0
RO18530,Washington,Male,Masters,254068.0,42557.0,65.0,1/0/00,Personal Auto,Four-Door Car,57.0
PD27940,Arizona,Male,High School or Below,488516.0,26372.0,126.0,1/0/00,Personal Auto,SUV,604.0
BS77946,Arizona,Female,Bachelors,975330.0,17514.0,127.0,1/0/00,Personal Auto,SUV,8.0
YM50253,California,Female,Bachelors,294615.0,89270.0,74.0,1/0/00,Personal Auto,Four-Door Car,316.0
NR15332,California,Male,High School or Below,258111.0,29757.0,65.0,1/0/00,Personal Auto,Four-Door Car,312.0
RC62865,Oregon,Male,High School or Below,351738.0,51814.0,92.0,1/0/00,Personal Auto,Four-Door Car,56.0
CC15295,Oregon,Female,Bachelors,974335.0,24028.0,82.0,1/0/00,Personal Auto,Four-Door Car,393.0
KA61892,Arizona,Male,High School or Below,387364.0,28142.0,105.0,1/0/00,Personal Auto,Sports Car,701.0
OS94884,Arizona,Female,Bachelors,764928.0,52705.0,64.0,1/1/00,Personal Auto,Two-Door Car,128.0
ND87334,California,Male,High School or Below,228759.0,0.0,63.0,1/0/00,Corporate Auto,Two-Door Car,679.0
OY51402,Washington,Female,High School or Below,825576.0,54040.0,103.0,1/0/00,Personal Auto,SUV,59.0
YL74911,California,Female,High School or Below,871492.0,0.0,118.0,1/0/00,Personal Auto,SUV,566.0
GK92563,Washington,Female,Doctorate,681923.0,22492.0,85.0,1/0/00,Personal Auto,Two-Door Car,61.0
HL53154,California,Male,Bachelors,741619.0,0.0,77.0,1/2/00,Personal Auto,Four-Door Car,554.0
RI78966,Oregon,Male,Masters,777115.0,21876.0,68.0,1/0/00,Personal Auto,Four-Door Car,465.0
IC13702,California,Female,Bachelors,696834.0,0.0,69.0,1/1/00,Personal Auto,Four-Door Car,496.0
BE10809,California,Female,High School or Below,425028.0,0.0,61.0,1/1/00,Personal Auto,Four-Door Car,292.0
HT87217,Oregon,Female,High School or Below,1977656.0,70699.0,82.0,1/0/00,Personal Auto,Four-Door Car,256.0
TH95618,California,Female,High School or Below,2134346.0,0.0,74.0,1/1/00,Personal Auto,Four-Door Car,355.0
TS19868,California,Male,High School or Below,241313.0,27501.0,63.0,1/0/00,Personal Auto,Four-Door Car,542.0
LP45550,Oregon,Female,Doctorate,1536384.0,15897.0,101.0,1/0/00,Personal Auto,Four-Door Car,303.0
QR87004,Nevada,Female,High School or Below,845696.0,25141.0,73.0,1/1/00,Personal Auto,Four-Door Car,25.0
OE75747,Nevada,Female,High School or Below,218964.0,0.0,61.0,1/3/00,Personal Auto,Four-Door Car,292.0
DX91392,California,Male,High School or Below,578018.0,51066.0,74.0,1/0/00,Personal Auto,Four-Door Car,787.0
AB72731,California,Female,Bachelors,463998.0,28358.0,117.0,1/0/00,Personal Auto,Sports Car,84.0
GX84338,Washington,Female,Doctorate,382443.0,62530.0,95.0,1/0/00,Personal Auto,Four-Door Car,61.0
IS12901,Arizona,Female,Bachelors,596811.0,90972.0,74.0,1/0/00,Personal Auto,Two-Door Car,232.0
BN90616,Washington,Female,Bachelors,859033.0,63110.0,72.0,1/0/00,Personal Auto,Four-Door Car,68.0
HH90090,California,Female,Bachelors,407663.0,29549.0,104.0,1/0/00,Personal Auto,Sports Car,710.0
IU25463,California,Female,Bachelors,1225260.0,0.0,115.0,1/1/00,Personal Auto,Four-Door Car,552.0
KC11055,Nevada,Female,Bachelors,1693627.0,39411.0,217.0,1/2/00,Personal Auto,Luxury Car,1122.0
PD33979,Oregon,Male,High School or Below,489243.0,21709.0,62.0,1/0/00,Personal Auto,Four-Door Car,408.0
NK71023,Nevada,Male,Bachelors,994230.0,67890.0,85.0,1/0/00,Personal Auto,Four-Door Car,408.0
AB13432,California,Male,Bachelors,373583.0,0.0,110.0,1/0/00,Personal Auto,SUV,792.0
OZ97704,California,Female,High School or Below,1311752.0,84311.0,111.0,1/4/00,Personal Auto,SUV,532.0
UF46533,California,Female,High School or Below,457452.0,99316.0,114.0,1/0/00,Corporate Auto,SUV,754.0
XP47431,Arizona,Female,Bachelors,547006.0,54507.0,138.0,1/0/00,Personal Auto,SUV,702.0
GK73582,California,Female,Bachelors,297884.0,64586.0,76.0,1/0/00,Personal Auto,Four-Door Car,206.0
RV98763,Oregon,Male,High School or Below,641096.0,61709.0,82.0,1/2/00,Personal Auto,Four-Door Car,275.0
II62831,California,Male,Masters,447902.0,94656.0,111.0,1/1/00,Special Auto,SUV,459.0
XK33449,California,Female,High School or Below,238373.0,0.0,69.0,1/0/00,Special Auto,Two-Door Car,496.0
TR85083,California,Male,Bachelors,276449.0,61085.0,70.0,1/1/00,Personal Auto,Two-Door Car,336.0
EO95328,Oregon,Female,Bachelors,792010.0,89284.0,67.0,1/3/00,Personal Auto,Two-Door Car,321.0
EN21086,Arizona,Female,High School or Below,688909.0,0.0,63.0,1/0/00,Personal Auto,Four-Door Car,302.0
YL83902,Washington,Female,Bachelors,327419.0,31686.0,81.0,1/0/00,Personal Auto,Four-Door Car,430.0
AZ62651,Oregon,Male,High School or Below,995170.0,56855.0,255.0,1/0/00,Corporate Auto,Luxury SUV,1836.0
ZW25874,Oregon,Male,Bachelors,252155.0,53703.0,67.0,1/2/00,Special Auto,Four-Door Car,67.0
EH41854,Washington,Female,High School or Below,2370611.0,0.0,96.0,1/1/00,Personal Auto,Two-Door Car,844.0
MW70227,California,Male,High School or Below,604702.0,20396.0,76.0,1/1/00,Personal Auto,Four-Door Car,364.0
SL22297,California,Female,Masters,1114030.0,27679.0,150.0,1/0/00,Personal Auto,SUV,722.0
RV14138,Nevada,Female,Bachelors,433406.0,23904.0,123.0,1/3/00,Personal Auto,SUV,590.0
UO62808,Arizona,Female,High School or Below,279974.0,65351.0,69.0,1/0/00,Corporate Auto,Four-Door Car,481.0
ZX64745,California,Male,High School or Below,792313.0,0.0,113.0,1/0/00,Personal Auto,SUV,1124.0
FL34139,California,Male,High School or Below,368811.0,0.0,63.0,1/3/00,Personal Auto,Four-Door Car,669.0
TS11219,California,Male,High School or Below,1206745.0,0.0,116.0,1/0/00,Personal Auto,SUV,1284.0
XX12304,California,Female,High School or Below,292497.0,64459.0,72.0,1/0/00,Personal Auto,Four-Door Car,240.0
SD64087,California,Male,High School or Below,1501409.0,32961.0,190.0,1/0/00,Corporate Auto,SUV,912.0
OY38576,Oregon,Female,High School or Below,927723.0,71416.0,116.0,1/0/00,Corporate Auto,SUV,556.0
BG76355,Washington,Female,Bachelors,627412.0,68964.0,78.0,1/0/00,Personal Auto,Four-Door Car,115.0
IP66913,California,Male,High School or Below,388664.0,78108.0,98.0,1/0/00,Personal Auto,Two-Door Car,470.0
LE95702,California,Male,High School or Below,438627.0,10621.0,67.0,1/0/00,Special Auto,Four-Door Car,321.0
KX54357,Washington,Male,High School or Below,1136526.0,84910.0,95.0,1/0/00,Corporate Auto,Two-Door Car,383.0
EZ78112,California,Female,High School or Below,561096.0,77493.0,70.0,1/0/00,Special Auto,Four-Door Car,307.0
XN16891,Arizona,Male,High School or Below,291289.0,81097.0,74.0,1/0/00,Personal Auto,Four-Door Car,355.0
XK31350,Oregon,Female,High School or Below,691572.0,96610.0,85.0,1/0/00,Corporate Auto,Four-Door Car,520.0
CC30924,Oregon,Male,High School or Below,626266.0,30110.0,159.0,1/0/00,Corporate Auto,Sports Car,466.0
IT78748,Oregon,Female,High School or Below,650339.0,22081.0,84.0,1/0/00,Special Auto,Two-Door Car,451.0
KY33386,Washington,Female,High School or Below,800739.0,0.0,112.0,1/0/00,Personal Auto,Sports Car,537.0
CO44221,California,Male,High School or Below,292991.0,98473.0,72.0,1/0/00,Personal Auto,Four-Door Car,345.0
LK60013,Oregon,Female,Bachelors,596955.0,97431.0,74.0,1/0/00,Personal Auto,Four-Door Car,355.0
DE21533,California,Male,Bachelors,547315.0,93870.0,69.0,1/0/00,Personal Auto,Four-Door Car,331.0
YS94121,Nevada,Male,High School or Below,564539.0,50366.0,72.0,1/0/00,Personal Auto,Four-Door Car,428.0
UK68427,Washington,Male,High School or Below,636926.0,34498.0,83.0,1/0/00,Personal Auto,Two-Door Car,398.0
TE49565,Oregon,Female,High School or Below,1183376.0,16552.0,103.0,1/0/00,Personal Auto,SUV,494.0
RA88421,Oregon,Female,High School or Below,612110.0,26787.0,77.0,1/0/00,Personal Auto,Four-Door Car,369.0
KQ51983,Nevada,Male,High School or Below,515936.0,0.0,74.0,1/0/00,Personal Auto,Two-Door Car,831.0
CD88896,Nevada,Female,High School or Below,251459.0,43860.0,65.0,1/0/00,Corporate Auto,Four-Door Car,156.0
YV22553,Arizona,Male,High School or Below,866861.0,21474.0,114.0,1/2/00,Corporate Auto,SUV,373.0
WU14435,California,Male,Bachelors,496096.0,18174.0,66.0,1/0/00,Corporate Auto,Four-Door Car,395.0
XV84099,Arizona,Female,Bachelors,550413.0,0.0,73.0,1/0/00,Corporate Auto,Four-Door Car,350.0
RI24911,Arizona,U,High School or Below,750745.0,60920.0,64.0,1/0/00,Personal Auto,Two-Door Car,231.0
KO26461,Arizona,U,High School or Below,3226985.0,41520.0,90.0,1/0/00,Personal Auto,Four-Door Car,289.0
HI14283,Oregon,Female,Bachelors,565703.0,0.0,152.0,1/0/00,Personal Auto,SUV,729.0
PT50227,Arizona,U,High School or Below,506175.0,0.0,68.0,1/0/00,Personal Auto,Two-Door Car,326.0
BH36570,California,U,Bachelors,591278.0,72208.0,73.0,1/0/00,Personal Auto,Two-Door Car,350.0
TX17484,California,Female,Bachelors,1518227.0,53863.0,63.0,1/0/00,Personal Auto,Four-Door Car,105.0
CT41158,Washington,U,High School or Below,1074703.0,66446.0,136.0,1/0/00,Corporate Auto,SUV,639.0
AO87348,Washington,U,High School or Below,205062.0,0.0,61.0,1/0/00,Personal Auto,Four-Door Car,292.0
DE55857,Washington,Female,Bachelors,246544.0,64997.0,63.0,1/1/00,Personal Auto,Four-Door Car,383.0
LF66923,Nevada,Female,High School or Below,534312.0,64460.0,66.0,1/0/00,Corporate Auto,Two-Door Car,316.0
CN24514,Arizona,Female,High School or Below,811982.0,46618.0,67.0,1/0/00,Personal Auto,Four-Door Car,99.0
UW32074,Oregon,Female,High School or Below,460526.0,0.0,64.0,1/0/00,Corporate Auto,Four-Door Car,307.0
HP36979,California,U,High School or Below,640878.0,49988.0,84.0,1/5/00,Personal Auto,Two-Door Car,566.0
PP40919,California,Female,High School or Below,237653.0,0.0,91.0,1/5/00,Personal Auto,Two-Door Car,436.0
RO73268,California,Male,Bachelors,321107.0,16269.0,86.0,1/0/00,Corporate Auto,Two-Door Car,412.0
HO61691,Arizona,Female,Bachelors,509452.0,72006.0,64.0,1/0/00,Personal Auto,Four-Door Car,307.0
BS13062,Arizona,Female,High School or Below,2575527.0,0.0,81.0,1/2/00,Personal Auto,Four-Door Car,388.0
